ID1,ID2,EdgeType,Score,Annotation
3821,3822,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.98186
3821,4032,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.98195
3825,3826,MS1 annotation,4,[M+Na]+ [M+H]+ dm/z=21.98181
3827,3843,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98237
3836,3844,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98184
3862,3865,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98206
3882,3890,MS1 annotation,4,[2M+H]+ [M+Na]+ dm/z=208.18088
3882,3883,MS1 annotation,4,[M+H]+ [M+Na]+ dm/z=21.98189
3883,3902,MS1 annotation,4,[2M+Na]+ [M+H]+ dm/z=252.14492
3905,3939,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98202
3938,4075,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98229
3951,3955,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98225
3982,3996,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98212
4010,4015,MS1 annotation,4,[M+H]+ [M+Na]+ dm/z=21.98176
4010,4022,MS1 annotation,4,[2M+H]+ [M+Na]+ dm/z=319.24984
4011,4025,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.9821
4015,4037,MS1 annotation,4,[2M+Na]+ [M+H]+ dm/z=363.21405
4023,4028,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98224
4042,4045,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98182
4052,4060,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98242
4086,4089,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98127
4086,4089,MS1 annotation,2,[M+Na]+ [2M+2H]+2 dm/z=21.98127
4093,4102,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98206
4101,4108,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98188
4131,4246,MS1 annotation,4,[2M+Na]+ [M+H]+ dm/z=365.22917
